# Goxel 0.10.7
# One line per voxel
# X Y Z RRGGBB
-7 0 0 ffffff
-6 0 0 ffffff
-5 0 0 ffffff
-7 1 0 ffffff
-7 2 0 ffffff
-7 3 0 ffffff
-6 3 0 ffffff
-6 4 0 ffffff
-5 4 0 ffffff
-6 5 0 ffffff
-6 6 0 ffffff
-6 7 0 ffffff
-1 7 0 ffffff
-5 8 0 ffffff
-4 8 0 ffffff
-3 8 0 ffffff
-2 8 0 ffffff
-1 8 0 ffffff
-5 8 1 ffffff
-4 8 1 ffffff
-8 -9 0 ffffff
-8 -8 0 ffffff
-8 -7 0 ffffff
-8 -6 0 ffffff
-8 -5 0 ffffff
-8 -4 0 ffffff
-2 -4 0 ffffff
-1 -4 0 ffffff
-8 -3 0 ffffff
-3 -3 0 ffffff
-2 -3 0 ffffff
-8 -2 0 ffffff
-5 -2 0 ffffff
-4 -2 0 ffffff
-3 -2 0 ffffff
-2 -2 0 ffffff
-1 -2 0 ffffff
-7 -1 0 ffffff
-6 -1 0 ffffff
-5 -1 0 ffffff
-4 -1 0 ffffff
-8 -9 1 ffffff
-8 -8 1 ffffff
-8 -7 1 ffffff
3 0 0 ffffff
4 0 0 ffffff
4 1 0 ffffff
4 2 0 ffffff
4 3 0 ffffff
3 4 0 ffffff
4 4 0 ffffff
2 5 0 ffffff
3 5 0 ffffff
1 6 0 ffffff
2 6 0 ffffff
0 7 0 ffffff
1 7 0 ffffff
4 -8 0 ffffff
2 -7 0 ffffff
3 -7 0 ffffff
4 -7 0 ffffff
1 -6 0 ffffff
2 -6 0 ffffff
0 -5 0 ffffff
1 -5 0 ffffff
0 -4 0 ffffff
0 -2 0 ffffff
1 -1 0 ffffff
2 -1 0 ffffff
3 -1 0 ffffff
4 -8 1 ffffff
